dm2 	Ue4^2 	Um4^2 	Ut4^2
0.01 	0.001 	0.014 	0.2
0.01 	0.00158489319246 	0.014 	0.2
0.01 	0.00251188643151 	0.014 	0.2
0.01 	0.00398107170553 	0.014 	0.2
0.01 	0.0063095734448 	0.014 	0.2
0.01 	0.01 	0.014 	0.2
0.01 	0.0158489319246 	0.014 	0.2
0.01 	0.0251188643151 	0.014 	0.2
0.01 	0.0398107170553 	0.014 	0.2
0.01 	0.063095734448 	0.014 	0.2
0.01 	0.1 	0.014 	0.2
0.0251188643151 	0.001 	0.014 	0.2
0.0251188643151 	0.00158489319246 	0.014 	0.2
0.0251188643151 	0.00251188643151 	0.014 	0.2
0.0251188643151 	0.00398107170553 	0.014 	0.2
0.0251188643151 	0.0063095734448 	0.014 	0.2
0.0251188643151 	0.01 	0.014 	0.2
0.0251188643151 	0.0158489319246 	0.014 	0.2
0.0251188643151 	0.0251188643151 	0.014 	0.2
0.0251188643151 	0.0398107170553 	0.014 	0.2
0.0251188643151 	0.063095734448 	0.014 	0.2
0.0251188643151 	0.1 	0.014 	0.2
0.063095734448 	0.001 	0.014 	0.2
0.063095734448 	0.00158489319246 	0.014 	0.2
0.063095734448 	0.00251188643151 	0.014 	0.2
0.063095734448 	0.00398107170553 	0.014 	0.2
0.063095734448 	0.0063095734448 	0.014 	0.2
0.063095734448 	0.01 	0.014 	0.2
0.063095734448 	0.0158489319246 	0.014 	0.2
0.063095734448 	0.0251188643151 	0.014 	0.2
0.063095734448 	0.0398107170553 	0.014 	0.2
0.063095734448 	0.063095734448 	0.014 	0.2
0.063095734448 	0.1 	0.014 	0.2
0.158489319246 	0.001 	0.014 	0.2
0.158489319246 	0.00158489319246 	0.014 	0.2
0.158489319246 	0.00251188643151 	0.014 	0.2
0.158489319246 	0.00398107170553 	0.014 	0.2
0.158489319246 	0.0063095734448 	0.014 	0.2
0.158489319246 	0.01 	0.014 	0.2
0.158489319246 	0.0158489319246 	0.014 	0.2
0.158489319246 	0.0251188643151 	0.014 	0.2
0.158489319246 	0.0398107170553 	0.014 	0.2
0.158489319246 	0.063095734448 	0.014 	0.2
0.158489319246 	0.1 	0.014 	0.2
0.398107170553 	0.001 	0.014 	0.2
0.398107170553 	0.00158489319246 	0.014 	0.2
0.398107170553 	0.00251188643151 	0.014 	0.2
0.398107170553 	0.00398107170553 	0.014 	0.2
0.398107170553 	0.0063095734448 	0.014 	0.2
0.398107170553 	0.01 	0.014 	0.2
0.398107170553 	0.0158489319246 	0.014 	0.2
0.398107170553 	0.0251188643151 	0.014 	0.2
0.398107170553 	0.0398107170553 	0.014 	0.2
0.398107170553 	0.063095734448 	0.014 	0.2
0.398107170553 	0.1 	0.014 	0.2
1.0 	0.001 	0.014 	0.2
1.0 	0.00158489319246 	0.014 	0.2
1.0 	0.00251188643151 	0.014 	0.2
1.0 	0.00398107170553 	0.014 	0.2
1.0 	0.0063095734448 	0.014 	0.2
1.0 	0.01 	0.014 	0.2
1.0 	0.0158489319246 	0.014 	0.2
1.0 	0.0251188643151 	0.014 	0.2
1.0 	0.0398107170553 	0.014 	0.2
1.0 	0.063095734448 	0.014 	0.2
1.0 	0.1 	0.014 	0.2
2.51188643151 	0.001 	0.014 	0.2
2.51188643151 	0.00158489319246 	0.014 	0.2
2.51188643151 	0.00251188643151 	0.014 	0.2
2.51188643151 	0.00398107170553 	0.014 	0.2
2.51188643151 	0.0063095734448 	0.014 	0.2
2.51188643151 	0.01 	0.014 	0.2
2.51188643151 	0.0158489319246 	0.014 	0.2
2.51188643151 	0.0251188643151 	0.014 	0.2
2.51188643151 	0.0398107170553 	0.014 	0.2
2.51188643151 	0.063095734448 	0.014 	0.2
2.51188643151 	0.1 	0.014 	0.2
6.3095734448 	0.001 	0.014 	0.2
6.3095734448 	0.00158489319246 	0.014 	0.2
6.3095734448 	0.00251188643151 	0.014 	0.2
6.3095734448 	0.00398107170553 	0.014 	0.2
6.3095734448 	0.0063095734448 	0.014 	0.2
6.3095734448 	0.01 	0.014 	0.2
6.3095734448 	0.0158489319246 	0.014 	0.2
6.3095734448 	0.0251188643151 	0.014 	0.2
6.3095734448 	0.0398107170553 	0.014 	0.2
6.3095734448 	0.063095734448 	0.014 	0.2
6.3095734448 	0.1 	0.014 	0.2
15.8489319246 	0.001 	0.014 	0.2
15.8489319246 	0.00158489319246 	0.014 	0.2
15.8489319246 	0.00251188643151 	0.014 	0.2
15.8489319246 	0.00398107170553 	0.014 	0.2
15.8489319246 	0.0063095734448 	0.014 	0.2
15.8489319246 	0.01 	0.014 	0.2
15.8489319246 	0.0158489319246 	0.014 	0.2
15.8489319246 	0.0251188643151 	0.014 	0.2
15.8489319246 	0.0398107170553 	0.014 	0.2
15.8489319246 	0.063095734448 	0.014 	0.2
15.8489319246 	0.1 	0.014 	0.2
39.8107170553 	0.001 	0.014 	0.2
39.8107170553 	0.00158489319246 	0.014 	0.2
39.8107170553 	0.00251188643151 	0.014 	0.2
39.8107170553 	0.00398107170553 	0.014 	0.2
39.8107170553 	0.0063095734448 	0.014 	0.2
39.8107170553 	0.01 	0.014 	0.2
39.8107170553 	0.0158489319246 	0.014 	0.2
39.8107170553 	0.0251188643151 	0.014 	0.2
39.8107170553 	0.0398107170553 	0.014 	0.2
39.8107170553 	0.063095734448 	0.014 	0.2
39.8107170553 	0.1 	0.014 	0.2
100.0 	0.001 	0.014 	0.2
100.0 	0.00158489319246 	0.014 	0.2
100.0 	0.00251188643151 	0.014 	0.2
100.0 	0.00398107170553 	0.014 	0.2
100.0 	0.0063095734448 	0.014 	0.2
100.0 	0.01 	0.014 	0.2
100.0 	0.0158489319246 	0.014 	0.2
100.0 	0.0251188643151 	0.014 	0.2
100.0 	0.0398107170553 	0.014 	0.2
100.0 	0.063095734448 	0.014 	0.2
100.0 	0.1 	0.014 	0.2
